
08-08-2025 17:43:24|2|Papas Fritas|2.0
08-08-2025 17:43:26|3|Cola|1.0
08-08-2025 17:43:27|2|Papas Fritas|2.0
08-08-2025 17:43:28|4|Doriloko|1.5
08-08-2025 18:10:09|11|Hawaiana|1.5
08-08-2025 19:29:31|1|Bolivia|3.5
08-08-2025 19:29:32|3|Goyena|1.0
08-08-2025 19:29:34|8|La Vacona|1.5
08-08-2025 19:29:36|9|PolloChampi|1.5
08-08-2025 19:30:41|1|Bolivia|3.5
08-08-2025 19:30:42|3|Goyena|1.0
08-08-2025 19:30:45|11|Hawaiana|1.5
08-08-2025 23:03:15|14|Pollo|1.5
08-08-2025 23:03:16|15|Mixto|1.5
08-08-2025 23:03:24|6|Margarita Guayaca|1.5
08-08-2025 23:03:31|3|Goyena|1.0
08-08-2025 23:16:39|4|Guayaka|1.5
08-08-2025 23:16:41|9|PolloChampi|1.5
08-08-2025 23:16:42|7|La Salamera|1.5
08-08-2025 23:17:20|22|Huevo|0.5
08-08-2025 23:17:22|7|La Salamera|1.5
08-08-2025 23:17:23|6|Margarita Guayaca|1.5
08-08-2025 23:17:26|15|Mixto|1.5
